Genotype,Loc,Loc2,Row,Col,Rep,Block,Plot,yield
G1,3,CSuarez,2,3,1,4,4,3564
G31,3,CSuarez,3,3,1,5,3,3228
G25,3,CSuarez,4,3,2,2,4,3038
G10,3,CSuarez,5,3,2,3,3,2759
G1,3,CSuarez,6,3,2,6,4,4049
G6,3,CSuarez,7,3,3,1,3,NA
G16,3,CSuarez,8,3,3,4,4,3274
G12,3,CSuarez,9,3,3,5,3,3550
G12,3,CSuarez,1,4,1,1,4,2124
G16,3,CSuarez,2,4,1,4,3,2933
G34,3,CSuarez,3,4,1,5,4,3013
G13,3,CSuarez,4,4,2,2,3,2781
G18,3,CSuarez,5,4,2,3,4,3228
G22,3,CSuarez,6,4,2,6,3,3838
G28,3,CSuarez,7,4,3,1,4,3523
G32,3,CSuarez,8,4,3,4,3,NA
G35,3,CSuarez,9,4,3,5,4,3435
G4,3,CSuarez,1,5,1,1,5,1819
G2,3,CSuarez,2,5,1,4,2,3370
G32,3,CSuarez,3,5,1,5,5,3059
G21,3,CSuarez,4,5,2,2,2,3490
G12,3,CSuarez,5,5,2,3,5,3453
G32,3,CSuarez,6,5,2,6,2,3281
G27,3,CSuarez,7,5,3,1,5,3017
G10,3,CSuarez,8,5,3,4,2,3453
G14,3,CSuarez,9,5,3,5,5,3048
G11,3,CSuarez,1,6,1,1,6,2267
G3,3,CSuarez,2,6,1,4,1,3634
G9,3,CSuarez,3,6,1,5,6,2431
G36,3,CSuarez,4,6,2,2,1,3568
G24,3,CSuarez,5,6,2,3,6,2968
G11,3,CSuarez,6,6,2,6,1,3712
G3,3,CSuarez,7,6,3,1,6,3492
G5,3,CSuarez,8,6,3,4,1,4070
G1,3,CSuarez,9,6,3,5,6,3236
G29,3,CSuarez,1,7,1,2,1,2002
G22,3,CSuarez,2,7,1,3,6,3750
G6,3,CSuarez,3,7,1,6,1,2952
G5,3,CSuarez,4,7,2,1,6,2724
G34,3,CSuarez,5,7,2,4,1,3677
G35,3,CSuarez,6,7,2,5,6,3781
G4,3,CSuarez,7,7,3,2,1,2772
G9,3,CSuarez,8,7,3,3,6,NA
G18,3,CSuarez,9,7,3,6,1,2974
G28,3,CSuarez,1,8,1,2,2,3633
G23,3,CSuarez,2,8,1,3,5,NA
G19,3,CSuarez,3,8,1,6,2,2995
G2,3,CSuarez,4,8,2,1,5,2956
G15,3,CSuarez,5,8,2,4,2,4026
G4,3,CSuarez,6,8,2,5,5,3415
G22,3,CSuarez,7,8,3,2,2,2270
G17,3,CSuarez,8,8,3,3,5,2981
G11,3,CSuarez,9,8,3,6,2,3818
G24,3,CSuarez,1,9,1,2,3,2655
G10,3,CSuarez,2,9,1,3,4,2961
G18,3,CSuarez,3,9,1,6,3,3052
G23,3,CSuarez,4,9,2,1,4,2950
G8,3,CSuarez,5,9,2,4,3,3291
G30,3,CSuarez,6,9,2,5,4,3655
G19,3,CSuarez,7,9,3,2,3,3249
G8,3,CSuarez,8,9,3,3,4,3402
G36,3,CSuarez,9,9,3,6,3,3213
G35,3,CSuarez,1,10,1,2,4,2779
G27,3,CSuarez,2,10,1,3,3,2552
G17,3,CSuarez,3,10,1,6,4,3182
G19,3,CSuarez,4,10,2,1,3,3369
G20,3,CSuarez,5,10,2,4,4,3900
G16,3,CSuarez,6,10,2,5,3,3405
G15,3,CSuarez,7,10,3,2,4,3399
G21,3,CSuarez,8,10,3,3,3,3587
G30,3,CSuarez,9,10,3,6,4,NA
G25,3,CSuarez,1,11,1,2,5,NA
G21,3,CSuarez,2,11,1,3,2,2940
G20,3,CSuarez,3,11,1,6,5,3727
G33,3,CSuarez,4,11,2,1,2,3232
G14,3,CSuarez,5,11,2,4,5,2960
G17,3,CSuarez,6,11,2,5,2,3375
G31,3,CSuarez,7,11,3,2,5,2917
G29,3,CSuarez,8,11,3,3,2,3301
G23,3,CSuarez,9,11,3,6,5,2806
G26,3,CSuarez,1,12,1,2,6,NA
G14,3,CSuarez,2,12,1,3,1,3037
G7,3,CSuarez,3,12,1,6,6,3133
G28,3,CSuarez,4,12,2,1,1,3419
G26,3,CSuarez,5,12,2,4,6,NA
G27,3,CSuarez,6,12,2,5,1,3306
G24,3,CSuarez,7,12,3,2,6,3809
G2,3,CSuarez,8,12,3,3,1,3394
G26,3,CSuarez,9,12,3,6,6,3262
G33,4,Miramar,1,1,1,1,1,3878
G19,4,Miramar,2,1,1,6,6,4724
G24,4,Miramar,3,1,2,1,1,4394
G34,4,Miramar,4,1,2,6,6,2924
G29,4,Miramar,5,1,3,1,1,3677
G35,4,Miramar,6,1,3,6,6,2947
G9,4,Miramar,1,2,1,1,2,3131
G6,4,Miramar,2,2,1,6,5,3678
G4,4,Miramar,3,2,2,1,2,3848
G3,4,Miramar,4,2,2,6,5,3085
G1,4,Miramar,5,2,3,1,2,2921
G16,4,Miramar,6,2,3,6,5,3361
G30,4,Miramar,1,3,1,1,3,4087
G7,4,Miramar,2,3,1,6,4,3716
G31,4,Miramar,3,3,2,1,3,3517
G13,4,Miramar,4,3,2,6,4,3628
G22,4,Miramar,5,3,3,1,3,2899
G17,4,Miramar,6,3,3,6,4,3921
G34,4,Miramar,1,4,1,1,4,3453
G18,4,Miramar,2,4,1,6,3,3719
G19,4,Miramar,3,4,2,1,4,3499
G28,4,Miramar,4,4,2,6,3,3408
G32,4,Miramar,5,4,3,1,4,3210
G30,4,Miramar,6,4,3,6,3,3215
G31,4,Miramar,1,5,1,1,5,2915
G17,4,Miramar,2,5,1,6,2,3172
G15,4,Miramar,3,5,2,1,5,2902
G27,4,Miramar,4,5,2,6,2,3470
G11,4,Miramar,5,5,3,1,5,3352
G4,4,Miramar,6,5,3,6,2,3840
G32,4,Miramar,1,6,1,1,6,2478
G20,4,Miramar,2,6,1,6,1,3394
G22,4,Miramar,3,6,2,1,6,3125
G6,4,Miramar,4,6,2,6,1,3632
G6,4,Miramar,5,6,3,1,6,4042
G27,4,Miramar,6,6,3,6,1,3639
G22,4,Miramar,1,7,1,2,1,3166
G15,4,Miramar,2,7,1,5,6,2953
G12,4,Miramar,3,7,2,2,1,2260
G32,4,Miramar,4,7,2,5,6,2752
G20,4,Miramar,5,7,3,2,1,4168
G13,4,Miramar,6,7,3,5,6,3320
G14,4,Miramar,1,8,1,2,2,3063
G16,4,Miramar,2,8,1,5,5,2944
G35,4,Miramar,3,8,2,2,2,2378
G16,4,Miramar,4,8,2,5,5,2821
G14,4,Miramar,5,8,3,2,2,3933
G21,4,Miramar,6,8,3,5,5,3070
G10,4,Miramar,1,9,1,2,3,4285
G36,4,Miramar,2,9,1,5,4,3887
G7,4,Miramar,3,9,2,2,3,2467
G25,4,Miramar,4,9,2,5,4,4140
G8,4,Miramar,5,9,3,2,3,2918
G25,4,Miramar,6,9,3,5,4,3258
G21,4,Miramar,1,10,1,2,4,4536
G1,4,Miramar,2,10,1,5,3,3291
G14,4,Miramar,3,10,2,2,4,2796
G20,4,Miramar,4,10,2,5,3,3946
G34,4,Miramar,5,10,3,2,4,3300
G7,4,Miramar,6,10,3,5,3,3118
G27,4,Miramar,1,11,1,2,5,4244
G2,4,Miramar,2,11,1,5,2,2749
G1,4,Miramar,3,11,2,2,5,3544
G10,4,Miramar,4,11,2,5,2,5487
G15,4,Miramar,5,11,3,2,5,3269
G36,4,Miramar,6,11,3,5,2,3313
G23,4,Miramar,1,12,1,2,6,3243
G3,4,Miramar,2,12,1,5,1,2915
G33,4,Miramar,3,12,2,2,6,3904
G5,4,Miramar,4,12,2,5,1,3229
G26,4,Miramar,5,12,3,2,6,3364
G31,4,Miramar,6,12,3,5,1,3978
G13,4,Miramar,1,13,1,3,1,3809
G29,4,Miramar,2,13,1,4,6,4023
G21,4,Miramar,3,13,2,3,1,4039
G30,4,Miramar,4,13,2,4,6,3284
G18,4,Miramar,5,13,3,3,1,2998
G33,4,Miramar,6,13,3,4,6,3827
G8,4,Miramar,1,14,1,3,2,4357
G25,4,Miramar,2,14,1,4,5,4208
G17,4,Miramar,3,14,2,3,2,3837
G23,4,Miramar,4,14,2,4,5,3002
G9,4,Miramar,5,14,3,3,2,2355
G5,4,Miramar,6,14,3,4,5,3818
G4,4,Miramar,1,15,1,3,3,3938
G28,4,Miramar,2,15,1,4,4,4070
G29,4,Miramar,3,15,2,3,3,3652
G11,4,Miramar,4,15,2,4,4,2837
G3,4,Miramar,5,15,3,3,3,2590
G28,4,Miramar,6,15,3,4,4,3504
G12,4,Miramar,1,16,1,3,4,4028
G26,4,Miramar,2,16,1,4,3,3556
G2,4,Miramar,3,16,2,3,4,3125
G26,4,Miramar,4,16,2,4,3,2857
G10,4,Miramar,5,16,3,3,4,3216
G19,4,Miramar,6,16,3,4,3,3225
G11,4,Miramar,1,17,1,3,5,3651
G24,4,Miramar,2,17,1,4,2,3404
G9,4,Miramar,3,17,2,3,5,2914
G36,4,Miramar,4,17,2,4,2,3090
G24,4,Miramar,5,17,3,3,5,3095
G23,4,Miramar,6,17,3,4,2,2639
G5,4,Miramar,1,18,1,3,6,4182
G35,4,Miramar,2,18,1,4,1,3601
G8,4,Miramar,3,18,2,3,6,4501
G18,4,Miramar,4,18,2,4,1,3457
G12,4,Miramar,5,18,3,3,6,2708
G2,4,Miramar,6,18,3,4,1,2768
G13,5,Orense,1,1,1,1,1,3149
G12,5,Orense,2,1,1,6,6,3302
G27,5,Orense,3,1,2,1,1,3420
G26,5,Orense,4,1,2,6,6,2696
G32,5,Orense,5,1,3,1,1,NA
G13,5,Orense,6,1,3,6,6,3829
G34,5,Orense,1,2,1,1,2,3287
G7,5,Orense,2,2,1,6,5,2842
G22,5,Orense,3,2,2,1,2,2972
G24,5,Orense,4,2,2,6,5,3143
G11,5,Orense,5,2,3,1,2,2882
G7,5,Orense,6,2,3,6,5,3077
G3,5,Orense,1,3,1,1,3,3339
G35,5,Orense,2,3,1,6,4,2619
G21,5,Orense,3,3,2,1,3,3110
G29,5,Orense,4,3,2,6,4,2776
G6,5,Orense,5,3,3,1,3,2894
G36,5,Orense,6,3,3,6,4,2711
G28,5,Orense,1,4,1,1,4,3726
G33,5,Orense,2,4,1,6,3,3868
G10,5,Orense,3,4,2,1,4,3233
G28,5,Orense,4,4,2,6,3,3509
G1,5,Orense,5,4,3,1,4,2553
G25,5,Orense,6,4,3,6,3,4020
G27,5,Orense,1,5,1,1,5,2574
G14,5,Orense,2,5,1,6,2,3077
G14,5,Orense,3,5,2,1,5,3377
G35,5,Orense,4,5,2,6,2,3540
G29,5,Orense,5,5,3,1,5,2946
G21,5,Orense,6,5,3,6,2,3405
G6,5,Orense,1,6,1,1,6,2812
G1,5,Orense,2,6,1,6,1,2852
G23,5,Orense,3,6,2,1,6,2914
G25,5,Orense,4,6,2,6,1,2959
G22,5,Orense,5,6,3,1,6,2540
G31,5,Orense,6,6,3,6,1,2396
G29,5,Orense,1,7,1,2,1,2933
G26,5,Orense,2,7,1,5,6,2684
G33,5,Orense,3,7,2,2,1,2858
G2,5,Orense,4,7,2,5,6,3002
G19,5,Orense,5,7,3,2,1,3745
G4,5,Orense,6,7,3,5,6,2815
G2,5,Orense,1,8,1,2,2,2914
G23,5,Orense,2,8,1,5,5,3410
G9,5,Orense,3,8,2,2,2,2391
G3,5,Orense,4,8,2,5,5,3221
G5,5,Orense,5,8,3,2,2,3384
G16,5,Orense,6,8,3,5,5,3038
G8,5,Orense,1,9,1,2,3,3194
G18,5,Orense,2,9,1,5,4,2660
G34,5,Orense,3,9,2,2,3,3130
G36,5,Orense,4,9,2,5,4,3130
G33,5,Orense,5,9,3,2,3,2881
G27,5,Orense,6,9,3,5,4,2959
G17,5,Orense,1,10,1,2,4,3038
G36,5,Orense,2,10,1,5,3,3444
G32,5,Orense,3,10,2,2,4,2719
G15,5,Orense,4,10,2,5,3,3195
G23,5,Orense,5,10,3,2,4,2891
G30,5,Orense,6,10,3,5,3,3038
G9,5,Orense,1,11,1,2,5,2614
G30,5,Orense,2,11,1,5,2,2943
G30,5,Orense,3,11,2,2,5,3038
G16,5,Orense,4,11,2,5,2,3261
G2,5,Orense,5,11,3,2,5,2908
G35,5,Orense,6,11,3,5,2,2855
G21,5,Orense,1,12,1,2,6,3333
G11,5,Orense,2,12,1,5,1,3130
G31,5,Orense,3,12,2,2,6,2553
G1,5,Orense,4,12,2,5,1,2763
G28,5,Orense,5,12,3,2,6,3077
G17,5,Orense,6,12,3,5,1,3811
G20,5,Orense,1,13,1,3,1,3391
G22,5,Orense,2,13,1,4,6,3064
G13,5,Orense,3,13,2,3,1,2613
G19,5,Orense,4,13,2,4,6,3012
G8,5,Orense,5,13,3,3,1,3530
G18,5,Orense,6,13,3,4,6,2868
G16,5,Orense,1,14,1,3,2,3009
G24,5,Orense,2,14,1,4,5,3341
G12,5,Orense,3,14,2,3,2,2828
G6,5,Orense,4,14,2,4,5,2193
G15,5,Orense,5,14,3,3,2,3116
G3,5,Orense,6,14,3,4,5,2917
G25,5,Orense,1,15,1,3,3,3139
G4,5,Orense,2,15,1,4,4,2789
G11,5,Orense,3,15,2,3,3,3247
G17,5,Orense,4,15,2,4,4,2881
G20,5,Orense,5,15,3,3,3,3634
G9,5,Orense,6,15,3,4,4,2488
G5,5,Orense,1,16,1,3,4,3313
G15,5,Orense,2,16,1,4,3,3009
G8,5,Orense,3,16,2,3,4,3281
G20,5,Orense,4,16,2,4,3,3257
G34,5,Orense,5,16,3,3,4,3103
G24,5,Orense,6,16,3,4,3,3562
G10,5,Orense,1,17,1,3,5,3187
G31,5,Orense,2,17,1,4,2,2776
G5,5,Orense,3,17,2,3,5,2835
G18,5,Orense,4,17,2,4,2,2763
G14,5,Orense,5,17,3,3,5,2422
G10,5,Orense,6,17,3,4,2,3038
G32,5,Orense,1,18,1,3,6,2940
G19,5,Orense,2,18,1,4,1,3476
G4,5,Orense,3,18,2,3,6,3274
G7,5,Orense,4,18,2,4,1,2972
G26,5,Orense,5,18,3,3,6,3169
G12,5,Orense,6,18,3,4,1,3261
G35,6,TArroyos,1,1,1,1,1,2411
G10,6,TArroyos,2,1,1,6,6,2448
G22,6,TArroyos,3,1,2,1,1,2516
G26,6,TArroyos,4,1,2,6,6,2069
G18,6,TArroyos,5,1,3,1,1,2174
G15,6,TArroyos,6,1,3,6,6,2021
G7,6,TArroyos,1,2,1,1,2,2227
G32,6,TArroyos,2,2,1,6,5,1844
G27,6,TArroyos,3,2,2,1,2,2174
G24,6,TArroyos,4,2,2,6,5,1820
G12,6,TArroyos,5,2,3,1,2,2213
G26,6,TArroyos,6,2,3,6,5,2252
G33,6,TArroyos,1,3,1,1,3,2495
G25,6,TArroyos,2,3,1,6,4,2113
G23,6,TArroyos,3,3,2,1,3,2179
G29,6,TArroyos,4,3,2,6,4,1728
G9,6,TArroyos,5,3,3,1,3,2149
G14,6,TArroyos,6,3,3,6,4,NA
G14,6,TArroyos,1,4,1,1,4,2513
G20,6,TArroyos,2,4,1,6,3,2119
G21,6,TArroyos,3,4,2,1,4,2385
G28,6,TArroyos,4,4,2,6,3,1936
G3,6,TArroyos,5,4,3,1,4,2136
G8,6,TArroyos,6,4,3,6,3,2488
G12,6,TArroyos,1,5,1,1,5,2407
G16,6,TArroyos,2,5,1,6,2,2540
G10,6,TArroyos,3,5,2,1,5,2857
G25,6,TArroyos,4,5,2,6,2,2190
G10,6,TArroyos,5,5,3,1,5,2658
G20,6,TArroyos,6,5,3,6,2,2684
G1,6,TArroyos,1,6,1,1,6,2508
G5,6,TArroyos,2,6,1,6,1,2658
G14,6,TArroyos,3,6,2,1,6,2051
G35,6,TArroyos,4,6,2,6,1,2551
G24,6,TArroyos,5,6,3,1,6,2750
G34,6,TArroyos,6,6,3,6,1,2337
G21,6,TArroyos,1,7,1,2,1,2301
G28,6,TArroyos,2,7,1,5,6,2342
G33,6,TArroyos,3,7,2,2,1,2014
G13,6,TArroyos,4,7,2,5,6,2332
G32,6,TArroyos,5,7,3,2,1,2409
G35,6,TArroyos,6,7,3,5,6,2350
G8,6,TArroyos,1,8,1,2,2,2931
G13,6,TArroyos,2,8,1,5,5,2788
G32,6,TArroyos,3,8,2,2,2,1915
G4,6,TArroyos,4,8,2,5,5,2301
G29,6,TArroyos,5,8,3,2,2,2412
G17,6,TArroyos,6,8,3,5,5,2940
G9,6,TArroyos,1,9,1,2,3,2078
G34,6,TArroyos,2,9,1,5,4,2023
G9,6,TArroyos,3,9,2,2,3,2248
G8,6,TArroyos,4,9,2,5,4,2030
G22,6,TArroyos,5,9,3,2,3,2357
G27,6,TArroyos,6,9,3,5,4,2471
G2,6,TArroyos,1,10,1,2,4,2019
G6,6,TArroyos,2,10,1,5,3,2658
G34,6,TArroyos,3,10,2,2,4,1758
G11,6,TArroyos,4,10,2,5,3,1967
G11,6,TArroyos,5,10,3,2,4,2473
G4,6,TArroyos,6,10,3,5,3,2234
G17,6,TArroyos,1,11,1,2,5,1919
G3,6,TArroyos,2,11,1,5,2,2453
G31,6,TArroyos,3,11,2,2,5,2373
G5,6,TArroyos,4,11,2,5,2,3062
G1,6,TArroyos,5,11,3,2,5,2378
G16,6,TArroyos,6,11,3,5,2,2239
G29,6,TArroyos,1,12,1,2,6,2180
G27,6,TArroyos,2,12,1,5,1,2337
G30,6,TArroyos,3,12,2,2,6,2190
G12,6,TArroyos,4,12,2,5,1,2587
G6,6,TArroyos,5,12,3,2,6,2684
G30,6,TArroyos,6,12,3,5,1,2520
G26,6,TArroyos,1,13,1,3,1,2412
G19,6,TArroyos,2,13,1,4,6,2863
G3,6,TArroyos,3,13,2,3,1,2303
G6,6,TArroyos,4,13,2,4,6,2187
G33,6,TArroyos,5,13,3,3,1,2380
G7,6,TArroyos,6,13,3,4,6,2547
G18,6,TArroyos,1,14,1,3,2,3001
G4,6,TArroyos,2,14,1,4,5,2793
G2,6,TArroyos,3,14,2,3,2,1736
G17,6,TArroyos,4,14,2,4,5,2776
G19,6,TArroyos,5,14,3,3,2,3253
G25,6,TArroyos,6,14,3,4,5,2141
G11,6,TArroyos,1,15,1,3,3,2544
G24,6,TArroyos,2,15,1,4,4,2758
G15,6,TArroyos,3,15,2,3,3,1863
G20,6,TArroyos,4,15,2,4,4,2602
G5,6,TArroyos,5,15,3,3,3,2195
G36,6,TArroyos,6,15,3,4,4,NA
G23,6,TArroyos,1,16,1,3,4,2409
G15,6,TArroyos,2,16,1,4,3,2706
G16,6,TArroyos,3,16,2,3,4,1986
G7,6,TArroyos,4,16,2,4,3,2632
G23,6,TArroyos,5,16,3,3,4,2368
G31,6,TArroyos,6,16,3,4,3,2326
G30,6,TArroyos,1,17,1,3,5,2911
G22,6,TArroyos,2,17,1,4,2,2496
G1,6,TArroyos,3,17,2,3,5,1934
G18,6,TArroyos,4,17,2,4,2,2449
G2,6,TArroyos,5,17,3,3,5,2044
G21,6,TArroyos,6,17,3,4,2,2407
G36,6,TArroyos,1,18,1,3,6,2706
G31,6,TArroyos,2,18,1,4,1,2466
G36,6,TArroyos,3,18,2,3,6,2486
G19,6,TArroyos,4,18,2,4,1,2468
G28,6,TArroyos,5,18,3,3,6,2082
G13,6,TArroyos,6,18,3,4,1,2166
G1,2,CMuerto,1,1,1,1,1,2841
G9,2,CMuerto,2,1,1,6,6,3089
G1,2,CMuerto,3,1,2,1,1,4466
G9,2,CMuerto,4,1,2,6,6,3087
G1,2,CMuerto,5,1,3,1,1,3438
G33,2,CMuerto,6,1,3,6,6,3769
G3,2,CMuerto,1,2,1,1,2,3494
G32,2,CMuerto,2,2,1,6,5,2475
G12,2,CMuerto,3,2,2,1,2,3580
G29,2,CMuerto,4,2,2,6,5,3464
G11,2,CMuerto,5,2,3,1,2,3257
G28,2,CMuerto,6,2,3,6,5,3665
G36,2,CMuerto,1,3,1,1,3,2921
G31,2,CMuerto,2,3,1,6,4,3073
G7,2,CMuerto,3,3,2,1,3,3328
G21,2,CMuerto,4,3,2,6,4,3157
G6,2,CMuerto,5,3,3,1,3,3675
G23,2,CMuerto,6,3,3,6,4,3765
G15,2,CMuerto,1,4,1,1,4,3093
G30,2,CMuerto,2,4,1,6,3,4133
G14,2,CMuerto,3,4,2,1,4,3468
G17,2,CMuerto,4,4,2,6,3,4127
G22,2,CMuerto,5,4,3,1,4,4024
G19,2,CMuerto,6,4,3,6,3,3005
G16,2,CMuerto,1,5,1,1,5,3394
G34,2,CMuerto,2,5,1,6,2,3651
G35,2,CMuerto,3,5,2,1,5,4334
G8,2,CMuerto,4,5,2,6,2,3886
G29,2,CMuerto,5,5,3,1,5,2839
G5,2,CMuerto,6,5,3,6,2,3305
G2,2,CMuerto,1,6,1,1,6,3200
G33,2,CMuerto,2,6,1,6,1,3206
G33,2,CMuerto,3,6,2,1,6,3472
G2,2,CMuerto,4,6,2,6,1,2576
G32,2,CMuerto,5,6,3,1,6,3024
G2,2,CMuerto,6,6,3,6,1,2860
G12,2,CMuerto,1,7,1,2,1,2091
G29,2,CMuerto,2,7,1,5,6,3149
G3,2,CMuerto,3,7,2,2,1,3442
G32,2,CMuerto,4,7,2,5,6,3226
G3,2,CMuerto,5,7,3,2,1,3283
G30,2,CMuerto,6,7,3,5,6,2907
G13,2,CMuerto,1,8,1,2,2,2775
G25,2,CMuerto,2,8,1,5,5,3324
G13,2,CMuerto,3,8,2,2,2,3268
G25,2,CMuerto,4,8,2,5,5,3635
G12,2,CMuerto,5,8,3,2,2,3405
G35,2,CMuerto,6,8,3,5,5,2488
G11,2,CMuerto,1,9,1,2,3,3401
G24,2,CMuerto,2,9,1,5,4,4116
G6,2,CMuerto,3,9,2,2,3,3588
G10,2,CMuerto,4,9,2,5,4,3294
G18,2,CMuerto,5,9,3,2,3,2313
G27,2,CMuerto,6,9,3,5,4,NA
