TreeID,Mum,Dad,Spacing,Rep,Plot,dj,dm,wd,h1,h2,h3,h4,h5,dis,lt,str
80101,70020,NA,3,3,1,0.36,0.391,0.369,37,136,232,410,620,1,0,1
80103,70020,NA,3,3,3,0.333,0.437,0.345,53,153,262,390,600,1,1,2
80105,70027,NA,3,3,1,0.357,0.425,0.383,43,141,271,450,670,1,0,4
80106,70027,NA,3,3,2,0.39,0.459,0.408,48,197,358,540,760,0,0,3
80108,70027,NA,3,3,4,0.361,0.421,0.378,44,142,284,420,630,0,0,2
80109,70031,NA,3,3,1,0.36,0.399,0.376,40,157,303,520,700,0,0,0
80110,70031,NA,3,3,2,0.368,0.434,0.381,51,206,334,570,830,1,0,4
80112,70031,NA,3,3,4,0.368,0.448,0.385,42,163,309,510,760,0,0,4
80118,70008,NA,3,3,2,0.324,0.413,0.361,37,110,251,390,570,1,1,2
80120,70008,NA,3,3,4,0.337,0.448,0.372,37,128,270,440,550,1,1,0
80126,70046,NA,3,3,2,0.334,0.411,0.369,22,114,267,410,590,0,1,4
80127,70046,NA,3,3,3,0.378,0.413,0.382,38,140,252,430,590,1,1,4
80129,70033,NA,3,3,1,0.35,0.44,0.363,30,110,219,370,550,1,0,2
80130,70033,NA,3,3,2,0.352,0.437,0.372,34,150,267,420,600,0,1,0
80131,70033,NA,3,3,3,0.368,0.508,0.395,22,100,173,350,540,1,1,0
80132,70033,NA,3,3,4,0.324,0.375,0.337,38,121,224,360,580,0,0,3
80133,70005,NA,3,3,1,0.349,0.435,0.368,39,161,276,460,630,0,0,0
80134,70005,NA,3,3,2,0.34,0.907,0.45,32,152,282,480,660,0,0,5
80136,70005,NA,3,3,4,0.351,0.451,0.373,41,168,286,420,610,1,0,0
80137,70059,NA,3,3,1,0.352,0.435,0.371,44,166,304,480,630,0,1,3
80138,70059,NA,3,3,2,0.393,0.481,0.415,40,163,296,490,670,0,1,1
80139,70059,NA,3,3,3,0.339,0.404,0.348,44,175,306,500,670,0,1,4
80140,70059,NA,3,3,4,0.364,0.426,0.385,42,188,337,520,730,1,1,0
80143,70050,NA,3,3,3,0.363,0.434,0.395,50,198,346,550,740,1,0,5
80145,70036,NA,3,4,1,0.332,0.384,0.355,43,136,231,490,660,0,1,5
80147,70036,NA,3,4,3,0.328,0.444,0.347,30,136,258,450,630,1,1,4
80148,70036,NA,3,4,4,0.378,0.477,0.404,43,127,260,480,700,1,0,3
80151,70001,NA,3,4,3,0.336,0.477,0.374,33,146,250,510,740,0,1,4
80152,70001,NA,3,4,4,0.317,0.452,0.363,32,147,277,470,600,1,1,0
80153,70035,NA,3,4,1,0.37,0.477,0.4,36,181,304,590,810,1,1,4
80154,70035,NA,3,4,2,0.36,0.485,0.407,50,151,306,530,790,0,1,1
80155,70035,NA,3,4,3,0.349,0.495,0.392,32,155,325,380,780,1,0,4
80169,70046,NA,3,4,1,0.362,0.366,0.364,27,110,204,400,580,0,0,0
80173,70040,NA,3,4,1,0.369,0.434,0.401,43,161,242,430,660,0,1,1
80175,70040,NA,3,4,3,0.399,0.491,0.429,48,188,275,520,680,1,0,3
80178,70031,NA,3,4,2,0.352,0.389,0.372,42,115,212,350,540,0,1,1
80179,70031,NA,3,4,3,0.423,0.488,0.447,32,100,204,350,510,1,0,1
80186,70029,NA,3,4,2,0.353,0.418,0.39,39,133,214,370,500,0,1,2
80187,70029,NA,3,4,3,0.394,0.431,0.414,34,88,149,270,430,0,1,0
80188,70029,NA,3,4,4,0.367,0.413,0.388,39,105,173,270,460,0,1,4
80189,70046,NA,3,1,1,0.344,0.44,0.385,40,137,280,420,580,0,1,1
80191,70046,NA,3,1,3,0.368,0.433,0.378,40,144,241,420,610,1,1,1
80192,70046,NA,3,1,4,0.353,0.458,0.364,36,120,218,360,510,1,0,4
80193,70001,NA,3,1,1,0.334,0.396,0.344,38,130,206,360,530,0,0,4
80194,70001,NA,3,1,2,0.345,0.431,0.387,33,130,265,440,680,1,1,3
80199,70034,NA,3,1,3,0.363,0.437,0.378,26,106,238,380,580,0,0,1
80200,70034,NA,3,1,4,0.365,0.526,0.386,33,122,228,410,600,1,0,2
80215,70012,NA,3,1,3,0.319,0.4,0.345,29,113,226,370,510,1,0,0
80217,70056,NA,3,1,1,0.341,0.452,0.37,27,120,225,360,500,0,0,3
80218,70056,NA,3,1,2,0.388,0.452,0.397,15,111,185,320,510,1,0,5
80224,70051,NA,3,1,4,0.358,0.433,0.387,32,108,222,350,520,1,0,5
80226,70050,NA,3,1,2,0.335,0.435,0.36,27,90,176,240,480,1,1,5
80227,70050,NA,3,1,3,0.351,0.434,0.368,31,122,237,420,620,0,1,4
80234,70025,NA,3,1,2,0.402,0.476,0.426,36,151,247,430,590,0,1,1
80236,70025,NA,3,1,4,0.366,0.484,0.39,40,116,233,340,550,0,0,0
80238,70061,NA,3,2,2,0.358,0.467,0.371,37,111,191,330,480,0,1,2
80239,70061,NA,3,2,3,0.333,0.408,0.342,39,118,206,290,510,0,1,4
80240,70061,NA,3,2,4,0.342,0.457,0.355,29,99,205,320,440,1,1,4
80241,70050,NA,3,2,1,0.337,0.449,0.365,33,132,220,380,570,1,0,4
80244,70050,NA,3,2,4,0.327,0.403,0.345,32,115,188,310,500,0,0,1
80246,70035,NA,3,2,2,0.326,0.43,0.34,38,155,233,380,570,0,1,1
80248,70035,NA,3,2,4,0.321,0.512,0.362,39,138,252,400,630,1,1,0
80249,70024,NA,3,2,1,0.339,0.454,0.35,28,128,266,400,520,1,1,2
80250,70024,NA,3,2,2,0.359,0.459,0.378,40,133,229,360,490,0,1,4
80252,70024,NA,3,2,4,0.353,0.478,0.359,29,133,241,380,610,1,1,1
80253,70002,NA,3,2,1,0.384,0.569,0.404,24,91,182,290,460,1,1,3
80255,70002,NA,3,2,3,0.366,0.49,0.413,36,123,252,400,610,0,1,5
80256,70002,NA,3,2,4,0.331,0.446,0.371,34,111,238,320,530,0,1,4
80258,70016,NA,3,2,2,0.334,0.386,0.352,26,73,182,270,490,1,1,2
80259,70016,NA,3,2,3,0.378,0.465,0.393,25,109,217,310,480,0,1,3
80264,70006,NA,3,2,4,0.37,0.427,0.38,20,101,217,310,510,0,0,2
80265,70033,NA,3,2,1,0.346,0.447,0.38,32,100,202,360,600,1,1,2
80268,70033,NA,3,2,4,0.323,0.358,0.34,30,94,168,300,550,0,0,2
80270,70018,NA,3,2,2,0.342,0.368,0.348,28,95,199,380,530,0,0,0
80271,70018,NA,3,2,3,0.345,0.441,0.368,24,70,193,320,570,0,1,2
80272,70018,NA,3,2,4,0.324,0.468,0.36,33,109,257,430,700,1,0,0
80275,70045,NA,3,2,3,0.376,0.458,0.389,25,108,228,340,510,1,1,3
80280,70011,NA,3,2,4,0.378,0.514,0.417,25,100,206,350,510,1,1,5
80283,70059,NA,3,2,3,0.357,0.419,0.376,40,160,333,500,730,1,0,4
80284,70059,NA,3,2,4,0.308,0.432,0.338,42,140,255,460,630,1,0,3
80285,70048,NA,3,3,1,0.393,0.442,0.409,48,180,366,580,760,1,0,5
80286,70048,NA,3,3,2,0.332,0.44,0.338,36,133,263,400,590,1,0,2
80287,70048,NA,3,3,3,0.351,0.435,0.375,32,114,240,430,670,0,1,0
80293,70056,NA,3,3,1,0.353,0.438,0.367,42,148,260,470,660,0,0,5
80294,70056,NA,3,3,2,0.358,0.45,0.367,35,158,285,480,670,0,0,2
80295,70056,NA,3,3,3,0.363,0.452,0.379,29,130,265,460,670,1,0,2
80297,70045,NA,3,3,1,0.407,0.496,0.415,33,130,249,410,560,0,1,0
80298,70045,NA,3,3,2,0.342,0.457,0.361,40,160,298,450,670,0,1,1
80300,70045,NA,3,3,4,0.376,0.48,0.387,40,165,333,600,860,0,1,1
80302,70040,NA,3,3,2,0.355,0.47,0.387,36,164,258,480,730,0,0,5
80304,70040,NA,3,3,4,0.341,0.434,0.354,33,115,238,400,620,0,1,0
80306,70023,NA,3,3,2,0.325,0.394,0.342,41,149,302,500,730,1,0,2
80310,70022,NA,3,3,2,0.352,0.438,0.387,33,182,340,580,850,1,0,4
80311,70022,NA,3,3,3,0.327,0.417,0.339,34,137,280,420,630,1,0,1
80314,70039,NA,3,3,2,0.35,0.446,0.393,47,163,300,520,760,0,1,1
80316,70039,NA,3,3,4,0.361,0.456,0.385,49,171,300,490,700,1,0,1
80318,70028,NA,3,3,2,0.342,0.452,0.38,49,192,318,490,680,0,1,1
80320,70028,NA,3,3,4,0.333,0.387,0.346,50,90,189,370,600,0,0,3
80321,70010,NA,3,3,1,0.348,0.465,0.38,42,181,303,450,700,0,1,1
80323,70010,NA,3,3,3,0.34,0.451,0.36,46,178,320,480,680,1,0,5
80324,70010,NA,3,3,4,0.349,0.492,0.396,45,151,317,470,630,0,1,4
80326,70057,NA,3,3,2,0.382,0.53,0.482,58,246,383,590,800,1,0,2
80327,70057,NA,3,3,3,0.413,0.502,0.438,51,185,283,400,610,1,1,2
80329,70007,NA,3,3,1,0.338,0.385,0.344,43,199,332,470,680,1,1,3
80330,70007,NA,3,3,2,0.369,0.462,0.383,45,168,265,440,630,1,1,0
80332,70007,NA,3,3,4,0.369,0.482,0.399,39,155,300,430,620,1,1,4
80333,70020,NA,3,4,1,0.347,0.479,0.356,36,145,232,440,620,0,1,3
80335,70020,NA,3,4,3,0.307,0.401,0.329,50,174,324,580,790,1,0,5
80337,70039,NA,3,4,1,0.345,0.419,0.365,37,160,284,430,620,0,0,3
80338,70039,NA,3,4,2,0.344,0.425,0.354,30,127,271,460,620,0,1,5
80341,70027,NA,3,4,1,0.39,0.463,0.41,66,204,348,650,810,1,1,0
80342,70027,NA,3,4,2,0.374,0.463,0.403,50,163,307,520,730,0,1,4
80343,70027,NA,3,4,3,0.355,0.454,0.369,41,135,255,420,590,1,0,4
80346,70025,NA,3,4,2,0.355,0.435,0.383,44,178,310,500,710,0,1,5
80350,70005,NA,3,4,2,0.388,0.444,0.417,48,131,327,480,750,1,1,4
80351,70005,NA,3,4,3,0.388,0.433,0.403,31,125,231,400,530,0,0,3
80355,70028,NA,3,4,3,0.372,0.447,0.396,56,143,254,410,610,0,1,5
80356,70028,NA,3,4,4,0.379,0.49,0.419,43,162,321,520,710,0,0,3
80363,70052,NA,3,4,3,0.413,0.497,0.454,32,144,256,410,570,1,0,3
80364,70052,NA,3,4,4,0.408,0.43,0.418,26,100,191,390,560,1,1,1
80365,70021,NA,3,4,1,0.386,0.462,0.427,49,151,278,460,610,1,1,3
80366,70021,NA,3,4,2,0.432,0.48,0.45,40,130,248,400,570,0,0,2
80367,70021,NA,3,4,3,0.391,0.474,0.437,36,139,274,460,630,0,1,0
80369,70010,NA,3,4,1,0.347,0.443,0.375,41,134,256,360,520,1,0,5
80372,70010,NA,3,4,4,0.369,0.443,0.403,51,167,295,460,640,1,0,1
80375,70047,NA,3,4,3,0.39,0.439,0.42,26,165,292,430,590,0,1,5
80378,70045,NA,3,4,2,0.399,0.479,0.442,55,155,248,460,660,1,0,0
80379,70045,NA,3,4,3,0.451,0.501,0.472,37,152,212,410,560,1,0,3
80381,70036,NA,3,1,1,0.369,0.439,0.394,44,136,216,380,630,1,1,1
80384,70036,NA,3,1,4,0.262,0.394,0.306,37,113,225,340,530,0,0,3
80385,70029,NA,3,1,1,0.334,0.438,0.358,30,116,223,340,520,1,1,1
80387,70029,NA,3,1,3,0.343,0.441,0.365,37,150,290,490,680,1,1,1
80390,70023,NA,3,1,2,0.354,0.423,0.368,40,135,250,350,570,0,0,4
80392,70023,NA,3,1,4,0.34,0.434,0.375,45,129,250,430,580,0,0,4
80393,70028,NA,3,1,1,0.342,0.459,0.393,47,132,293,410,600,1,0,2
80395,70028,NA,3,1,3,0.362,0.419,0.373,41,119,209,330,490,1,1,1
80396,70028,NA,3,1,4,0.333,0.414,0.36,44,151,276,390,600,1,1,0
80397,70020,NA,3,1,1,0.345,0.389,0.36,37,104,218,330,480,0,0,1
80401,70022,NA,3,1,1,0.352,0.431,0.371,37,105,180,280,440,1,1,1
80403,70022,NA,3,1,3,0.349,0.388,0.37,24,115,219,310,490,1,0,2
80408,70037,NA,3,1,4,0.332,0.446,0.358,30,97,182,290,390,0,0,2
80410,70015,NA,3,1,2,0.368,0.465,0.385,32,121,212,330,470,1,1,3
80412,70015,NA,3,1,4,0.324,0.363,0.342,36,134,261,360,540,1,1,3
80413,70045,NA,3,1,1,0.302,0.417,0.311,29,120,189,270,400,1,0,1
80414,70045,NA,3,1,2,0.374,0.539,0.394,34,126,215,330,500,0,0,1
80417,70004,NA,3,1,1,0.348,0.438,0.381,39,122,229,370,550,1,1,2
80418,70004,NA,3,1,2,0.333,0.439,0.366,40,127,205,350,580,1,1,4
80420,70004,NA,3,1,4,0.356,0.455,0.382,34,91,186,310,530,1,1,4
80421,70006,NA,3,1,1,0.333,0.412,0.358,25,140,240,360,550,0,0,4
80424,70006,NA,3,1,4,0.341,0.408,0.358,29,112,233,370,570,0,1,1
80425,70059,NA,3,1,1,0.319,0.387,0.339,34,111,211,360,560,1,0,5
80426,70059,NA,3,1,2,0.35,0.433,0.36,38,132,252,390,590,0,1,3
80427,70059,NA,3,1,3,0.335,0.451,0.352,32,91,188,350,560,0,0,2
80428,70059,NA,3,1,4,0.342,0.457,0.359,36,118,238,380,560,0,1,3
80429,70021,NA,3,2,1,0.364,0.433,0.391,39,117,234,360,550,1,0,1
80430,70021,NA,3,2,2,0.365,0.495,0.374,41,110,229,360,500,1,0,4
80437,70034,NA,3,2,1,0.328,0.45,0.357,35,141,221,350,490,1,1,2
80438,70034,NA,3,2,2,0.35,0.49,0.376,26,92,169,270,520,1,1,0
80439,70034,NA,3,2,3,0.345,0.45,0.362,34,132,240,370,560,0,0,0
80441,70027,NA,3,2,1,0.353,0.422,0.383,41,121,229,310,550,0,0,0
80443,70027,NA,3,2,3,0.373,0.475,0.383,36,97,211,300,430,0,0,1
80444,70027,NA,3,2,4,0.385,0.51,0.411,55,114,181,360,570,1,1,5
80446,70029,NA,3,2,2,0.343,0.439,0.353,33,89,185,290,480,1,1,2
80447,70029,NA,3,2,3,0.353,0.518,0.386,34,102,175,330,530,1,0,4
80448,70029,NA,3,2,4,0.354,0.468,0.376,44,149,236,390,590,1,1,3
80465,70015,NA,3,2,1,0.353,0.448,0.373,44,110,252,410,580,1,0,5
80469,70009,NA,3,2,1,0.36,0.484,0.37,27,92,209,390,560,0,0,2
80472,70009,NA,3,2,4,0.351,0.466,0.383,29,82,203,370,540,1,0,3
80473,70044,NA,3,2,1,0.271,0.491,0.362,32,122,261,460,630,1,0,4
80474,70044,NA,3,2,2,0.235,0.487,0.248,24,118,296,490,720,1,0,5
80477,70036,NA,3,3,1,0.323,0.403,0.345,33,111,251,420,610,1,1,3
80480,70036,NA,3,3,4,0.311,0.422,0.334,31,136,289,370,500,0,0,2
80481,70018,NA,3,3,1,0.318,0.365,0.329,48,166,305,430,630,0,1,0
80482,70018,NA,3,3,2,0.333,0.406,0.352,40,174,311,450,670,0,0,5
80484,70018,NA,3,3,4,0.312,0.393,0.353,40,136,275,450,630,1,1,2
80485,70060,NA,3,3,1,0.37,0.462,0.379,37,159,261,430,600,0,0,1
80486,70060,NA,3,3,2,0.366,0.477,0.401,46,147,289,480,730,0,0,0
80487,70060,NA,3,3,3,0.383,0.426,0.4,45,138,288,480,720,1,1,0
80499,70006,NA,3,3,3,0.358,0.446,0.384,39,160,318,540,760,1,0,1
80500,70006,NA,3,3,4,0.348,0.41,0.371,39,150,280,490,730,0,0,2
80508,70009,NA,3,3,4,0.348,0.457,0.373,36,120,235,360,520,0,0,2
80509,70047,NA,3,3,1,0.343,0.47,0.369,41,177,309,480,670,0,1,3
80512,70047,NA,3,3,4,0.343,0.441,0.38,40,170,319,510,710,1,0,1
80513,70035,NA,3,3,1,0.363,0.459,0.385,34,156,304,420,640,0,1,1
80514,70035,NA,3,3,2,0.326,0.429,0.333,38,170,297,440,590,1,1,1
80515,70035,NA,3,3,3,0.37,0.45,0.387,24,126,228,380,600,1,1,5
80518,70016,NA,3,3,2,0.341,0.479,0.373,39,149,256,460,700,0,1,0
80519,70016,NA,3,3,3,0.341,0.391,0.353,35,161,311,510,710,0,0,0
80523,70041,NA,3,3,3,0.345,0.427,0.366,41,151,282,480,680,1,0,5
80525,70015,NA,3,4,1,0.371,0.473,0.394,42,130,237,370,610,0,1,5
80528,70015,NA,3,4,4,0.345,0.438,0.385,54,158,296,530,740,0,0,2
80529,70030,NA,3,4,1,0.333,0.472,0.376,53,157,231,450,660,0,0,0
80530,70030,NA,3,4,2,0.362,0.532,0.386,53,146,257,450,660,1,0,5
80531,70030,NA,3,4,3,0.303,0.409,0.332,43,146,280,510,710,0,1,4
80532,70030,NA,3,4,4,0.362,0.515,0.38,35,150,263,460,660,1,1,2
80533,70002,NA,3,4,1,0.343,0.458,0.379,37,155,274,490,730,0,0,2
80534,70002,NA,3,4,2,0.342,0.427,0.383,41,140,278,520,730,0,1,3
80535,70002,NA,3,4,3,0.354,0.504,0.368,47,168,293,510,720,0,1,2
80537,70051,NA,3,4,1,0.373,0.493,0.392,36,143,223,450,720,0,1,2
80540,70051,NA,3,4,4,0.432,0.474,0.449,33,167,302,570,790,1,1,0
80541,70041,NA,3,4,1,0.362,0.463,0.405,38,150,282,490,690,1,1,3
80542,70041,NA,3,4,2,0.387,0.495,0.416,33,162,256,470,660,1,0,4
80545,70053,NA,3,4,1,0.366,0.467,0.397,46,174,260,530,740,1,1,2
80546,70053,NA,3,4,2,0.371,0.465,0.4,76,212,293,510,710,0,1,0
80547,70053,NA,3,4,3,0.36,0.409,0.393,39,145,250,420,620,0,1,1
80548,70053,NA,3,4,4,0.361,0.452,0.379,38,162,283,500,740,1,1,3
80549,70043,NA,3,4,1,0.417,0.563,0.446,33,148,246,510,670,1,0,4
80550,70043,NA,3,4,2,0.362,0.468,0.403,41,143,268,460,660,1,0,3
80551,70043,NA,3,4,3,0.386,0.551,0.442,35,155,246,390,610,0,1,4
80552,70043,NA,3,4,4,0.377,0.483,0.404,45,145,257,480,650,0,1,5
80554,70007,NA,3,4,2,0.434,0.514,0.451,17,100,165,280,490,1,1,1
80555,70007,NA,3,4,3,0.383,0.482,0.408,34,108,199,370,580,1,0,2
80558,70006,NA,3,4,2,0.413,0.512,0.453,32,120,239,440,640,1,0,2
80559,70006,NA,3,4,3,0.371,0.424,0.384,33,126,238,450,680,0,0,3
80561,70057,NA,3,4,1,0.301,0.362,0.328,32,126,250,440,650,0,0,0
80563,70057,NA,3,4,3,0.399,0.498,0.435,37,135,246,420,610,1,0,1
80564,70057,NA,3,4,4,0.384,0.803,0.517,40,154,264,480,670,0,0,5
80565,70034,NA,3,4,1,0.393,0.447,0.422,42,197,280,500,690,1,1,3
80566,70034,NA,3,4,2,0.394,0.418,0.406,37,158,310,520,690,0,1,1
80573,70035,NA,3,1,1,0.384,0.45,0.396,31,128,236,350,540,0,1,3
80574,70035,NA,3,1,2,0.383,0.502,0.394,40,125,224,320,540,0,1,3
80575,70035,NA,3,1,3,0.331,0.386,0.341,35,137,242,390,590,0,1,1
80576,70035,NA,3,1,4,0.362,0.433,0.388,41,140,288,420,600,0,1,3
80577,70040,NA,3,1,1,0.369,0.462,0.374,37,140,256,380,590,1,0,4
80578,70040,NA,3,1,2,0.339,0.452,0.37,39,136,265,440,620,1,0,3
80581,70003,NA,3,1,1,0.33,0.375,0.336,34,111,226,360,550,0,0,5
80585,70038,NA,3,1,1,0.323,0.398,0.335,27,126,235,390,540,1,0,3
80586,70038,NA,3,1,2,0.371,0.436,0.398,27,111,200,330,490,1,0,0
80587,70038,NA,3,1,3,0.344,0.413,0.354,22,110,188,310,500,0,0,0
80588,70038,NA,3,1,4,0.351,0.477,0.382,30,92,191,320,530,1,0,0
80599,70016,NA,3,1,3,0.323,0.364,0.338,35,128,208,350,480,1,1,3
80601,70019,NA,3,1,1,0.383,0.47,0.404,35,117,266,330,530,0,0,3
80606,70043,NA,3,1,2,0.326,0.399,0.364,34,147,252,420,630,0,1,2
80607,70043,NA,3,1,3,0.413,0.475,0.436,37,141,266,390,610,0,0,4
80608,70043,NA,3,1,4,0.364,0.471,0.38,32,127,203,300,450,1,0,4
80610,70018,NA,3,1,2,0.4,0.441,0.408,31,105,220,340,550,0,1,0
80611,70018,NA,3,1,3,0.339,0.443,0.353,29,102,216,340,490,0,1,0
80613,70005,NA,3,1,1,0.34,0.458,0.362,30,101,177,340,530,0,0,0
80615,70005,NA,3,1,3,0.356,0.458,0.369,30,168,277,430,610,1,0,1
80623,70052,NA,3,2,3,0.367,0.432,0.387,45,152,307,500,680,0,0,5
80624,70052,NA,3,2,4,0.349,0.422,0.355,23,90,175,280,470,1,0,3
80625,70047,NA,3,2,1,0.34,0.398,0.351,32,126,202,360,560,0,1,3
80626,70047,NA,3,2,2,0.344,0.429,0.374,22,110,227,300,490,1,1,1
80627,70047,NA,3,2,3,0.351,0.473,0.387,33,116,224,390,590,1,0,4
80629,70025,NA,3,2,1,0.35,0.466,0.365,31,110,240,330,520,1,0,0
80633,70023,NA,3,2,1,0.37,0.478,0.416,34,121,189,320,460,1,0,1
80634,70023,NA,3,2,2,0.351,0.428,0.362,33,122,222,330,530,0,0,1
80635,70023,NA,3,2,3,0.308,0.419,0.327,40,115,239,340,520,0,1,1
80638,70036,NA,3,2,2,0.326,0.386,0.344,32,90,199,340,520,1,0,5
80639,70036,NA,3,2,3,0.341,0.438,0.378,44,110,212,360,480,0,1,1
80640,70036,NA,3,2,4,0.331,0.497,0.37,43,136,227,350,580,1,1,1
80641,70010,NA,3,2,1,0.354,0.47,0.364,23,81,162,300,480,0,1,5
80642,70010,NA,3,2,2,0.32,0.38,0.332,34,122,254,380,600,0,1,3
80643,70010,NA,3,2,3,0.329,0.408,0.34,27,112,214,350,460,0,1,1
80645,70040,NA,3,2,1,0.393,0.456,0.415,39,113,207,350,580,1,0,0
80651,70041,NA,3,2,3,0.37,0.453,0.374,33,135,263,480,660,1,1,5
80652,70041,NA,3,2,4,0.393,0.518,0.422,39,76,284,340,520,1,0,5
80653,70030,NA,3,2,1,0.372,0.549,0.41,29,65,120,220,420,1,1,2
80654,70030,NA,3,2,2,0.326,0.53,0.383,37,95,155,280,490,0,0,2
80656,70030,NA,3,2,4,0.359,0.503,0.398,35,100,221,310,530,1,1,1
80665,70048,NA,3,2,1,0.37,0.471,0.394,28,58,157,320,510,0,1,0
80666,70048,NA,3,2,2,0.381,0.494,0.403,31,90,202,350,560,0,1,4
80667,70048,NA,3,2,3,0.35,0.458,0.386,31,123,261,420,650,0,0,5
80670,70001,NA,3,3,2,0.343,0.471,0.392,30,140,263,420,560,1,0,1
80675,70051,NA,3,3,3,0.322,0.424,0.337,29,120,240,370,570,0,0,2
80676,70051,NA,3,3,4,0.334,0.526,0.41,36,152,293,490,680,1,1,4
80677,70021,NA,3,3,1,0.378,0.473,0.389,39,92,208,320,510,0,0,4
80678,70021,NA,3,3,2,0.354,0.433,0.371,47,153,296,440,660,1,1,4
80680,70021,NA,3,3,4,0.337,0.43,0.353,43,164,340,470,610,1,1,3
80681,70015,NA,3,3,1,0.354,0.47,0.368,31,126,217,350,520,0,1,4
80687,70054,NA,3,3,3,0.35,0.432,0.383,40,148,241,370,600,1,1,0
80689,70044,NA,3,3,1,0.346,0.532,0.364,25,105,203,320,570,1,0,5
80690,70044,NA,3,3,2,0.337,0.402,0.346,34,98,200,360,610,0,1,5
80693,70030,NA,3,3,1,0.326,0.442,0.342,30,106,212,350,540,1,0,3
80696,70030,NA,3,3,4,0.359,0.507,0.392,37,146,270,420,620,1,0,4
80698,70029,NA,3,3,2,0.347,0.441,0.385,34,152,185,470,710,0,1,3
80700,70029,NA,3,3,4,0.352,0.499,0.374,36,115,238,400,590,0,0,5
80702,70037,NA,3,3,2,0.365,0.404,0.378,44,182,290,510,730,1,0,2
80705,70019,NA,3,3,1,0.413,0.414,0.413,44,150,261,480,730,1,0,3
80706,70019,NA,3,3,2,0.347,0.465,0.37,36,175,255,470,730,1,1,5
80708,70019,NA,3,3,4,0.39,0.492,0.425,58,215,379,600,850,1,0,3
80709,70052,NA,3,3,1,0.37,0.495,0.409,39,168,277,520,800,0,1,1
80712,70052,NA,3,3,4,0.342,0.452,0.372,42,151,252,420,620,0,1,5
80713,70055,NA,3,3,1,0.364,0.469,0.393,60,200,319,600,830,1,0,3
80714,70055,NA,3,3,2,0.336,0.444,0.358,55,197,353,590,800,1,0,2
